brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
Samsung,ICR18650-26FM,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/he1Kxlt.jpg,https://secondlifestorage.com/index.php?threads/celldata.1785/,2600,3.70,4.20,1300,2600,2.75,520,5200,https://cdn.shopify.com/s/files/1/0674/3651/files/samsung-ICR18650-26FM-spec-sheet.pdf?13304021761413850609
Samsung,ICR18650-26FU,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/icr1865026fu.jpg,https://secondlifestorage.com/index.php?threads/celldata.2097/,2600,3.70,4.20,1300,2600,2.75,520,5200,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/ICR18650-26F.pdf
Samsung,ICR18650-26H,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/PZwUiQd.jpg,https://secondlifestorage.com/index.php?threads/celldata.1784/,2600,3.63,4.20,1300,2600,2.75,520,5200,http://grobotronics.com/images/companies/1/datasheets/ICR18650-26H.pdf
Samsung,ICR18650-26J,18650,Pink,White,https://secondlifestorage.com/custom/cell_images/icr1865026j.jpg,https://secondlifestorage.com/index.php?threads/celldata.1928/,2600,3.63,4.20,1300,2600,2.75,520,5200,http://www.thefalconboard.com/samsung-data-sheet.pdf
Samsung,ICR18650-28A,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/Ac4KD5d.jpg,https://secondlifestorage.com/index.php?threads/celldata.1772/,2800,3.75,4.30,1400,2800,2.75,560,5600,http://www.meircell.co.il/files/Samsung%20ICR18650-28A.pdf
Samsung,ICR18650-30A,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/5vkUoK0.jpg,https://secondlifestorage.com/index.php?threads/celldata.1770/,3000,3.70,4.30,1500,6000,2.75,440,6000,http://www.meircell.co.il/files/Samsung%20ICR18650-30A.pdf
Samsung,ICR18650-30B,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/aongbB8.jpg,https://secondlifestorage.com/index.php?threads/celldata.1736/,2950,3.78,4.35,1475,2950,2.75,590,5900,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/ICR18650-30B.pdf
Samsung,ICR18650-30B,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/icr1865030b.jpg,https://secondlifestorage.com/index.php?threads/celldata.1736/,2950,3.78,4.35,1475,2950,2.75,590,5900,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/ICR18650-30B.pdf
Samsung,ICR18650-32A,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/agmtMWU.jpg,https://secondlifestorage.com/index.php?threads/celldata.1769/,3200,3.75,4.35,1600,3200,2.75,640,6400,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/ICR18650-32A.pdf
Samsung,INR18650-13B,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/inr1865013b.jpg,https://secondlifestorage.com/index.php?threads/celldata.4872/,1300,3.60,4.20,650,4000,2.50,None,23000,None
Samsung,INR18650-13P,18650,Turquoise,White,https://secondlifestorage.com/custom/cell_images/inr1865013r.jpg,https://secondlifestorage.com/index.php?threads/celldata.3264/,1300,3.70,4.20,1300,None,2.50,300,18000,None
Samsung,INR18650-13Q,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/nyb3Guw.jpg,https://secondlifestorage.com/index.php?threads/celldata.1744/,1300,3.60,4.20,910,4000,2.50,4000,15000,http://www.al-ko.com/shop/media/uploads/Specification_INR18650_13Q_100326.pdf
Samsung,INR18650-15M,18650,Blue (Light),White,https://secondlifestorage.com/custom/cell_images/FGWQdn6.jpg,https://secondlifestorage.com/index.php?threads/celldata.1758/,1500,3.60,4.20,750,4000,2.50,1500,23000,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/INR18650-15M.pdf
Samsung,INR18650-15MM,18650,Blue (Light),White,https://secondlifestorage.com/custom/cell_images/jy5nbC0.jpg,https://secondlifestorage.com/index.php?threads/celldata.1759/,1500,3.60,4.20,750,4000,2.50,300,23000,None
Samsung,INR18650-15Q,18650,Green (Light),White,https://secondlifestorage.com/custom/cell_images/uYFevmi.jpg,https://secondlifestorage.com/index.php?threads/celldata.1729/,1500,3.60,4.20,750,4000,2.50,1500,18000,http://akkuplus.de/mediafiles/Datenblatt/Samsung/Samsung_INR18650-15Q.pdf
Samsung,INR18650-15Q,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/7bKPxNg.jpg,https://secondlifestorage.com/index.php?threads/celldata.1749/,1500,3.60,4.20,750,4000,2.50,1500,18000,http://www.batteryspace.com/prod-specs/6615.pdf
Samsung,INR18650-15R,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/JsfGsXQ.jpg,https://secondlifestorage.com/index.php?threads/celldata.1748/,1500,3.70,4.20,1200,2200,2.50,None,25000,None
Samsung,INR18650-20Q,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/FChN3H2.jpg,https://secondlifestorage.com/index.php?threads/celldata.1747/,2000,3.60,4.20,1000,1000,2.00,400,15000,http://gamma.spb.ru/media/pdf/liion-lipolymer-lifepo4-akkumulyatory/INR18650_20Q.pdf
Samsung,INR18650-20R,18650,Teal,White,https://secondlifestorage.com/custom/cell_images/zNd3n99.jpg,https://secondlifestorage.com/index.php?threads/celldata.1746/,2000,3.60,4.20,1000,4000,2.50,400,22000,http://www.avacom.cz/Datasheety/Samsung/INR18650-20R.pdf
Samsung,INR18650-25R,18650,Green,White,https://secondlifestorage.com/custom/cell_images/voJKSFT.jpg,https://secondlifestorage.com/index.php?threads/celldata.1738/,2500,3.60,4.20,1250,4000,2.50,500,20000,https://www.powerstream.com/p/INR18650-25R-datasheet.pdf
Samsung,INR18650-25R,18650,Blue (Light),White,https://secondlifestorage.com/custom/cell_images/JhIQIeO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1738/,2500,3.60,4.20,1250,4000,2.50,500,20000,https://www.powerstream.com/p/INR18650-25R-datasheet.pdf
Samsung,INR18650-29E,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/vZrbPjZ.jpg,https://secondlifestorage.com/index.php?threads/celldata.1771/,2900,3.62,4.20,1375,2750,2.50,550,2750,https://www.akkuparts24.de/mediafiles//Datenblaetter/Samsung/Samsung%20INR18650-29E.pdf
Samsung,INR18650-30Q,18650,Purple,White,https://secondlifestorage.com/custom/cell_images/inr1865030q.jpg,https://secondlifestorage.com/index.php?threads/celldata.1854/,3000,3.60,4.20,1500,4000,2.50,600,15000,https://eu.nkon.nl/sk/k/30q.pdf
Samsung,INR18650-33G,18650,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/inr1865033g.jpg,https://secondlifestorage.com/index.php?threads/celldata.8107/,3150,3.60,4.20,975,3250,2.50,650,6500,https://www.imrbatteries.com/content/samsung_33G.pdf
